Date,State,Industry Sector Category,Residential
2017,MA,Restructured Retail Service Providers,22.04
2017,MD,Restructured Retail Service Providers,15.40
2017,ME,Restructured Retail Service Providers,18.25
2017,MI,Restructured Retail Service Providers,15.55
2017,MT,Restructured Retail Service Providers,10.91
2017,NH,Restructured Retail Service Providers,17.38
2017,NJ,Restructured Retail Service Providers,16.52
2017,NV,Restructured Retail Service Providers,0.00
2017,NY,Restructured Retail Service Providers,20.81
2017,OH,Restructured Retail Service Providers,12.74
2017,OR,Restructured Retail Service Providers,0.00
2017,PA,Restructured Retail Service Providers,15.32
2017,RI,Restructured Retail Service Providers,20.73
2017,VA,Restructured Retail Service Providers,0.00
2017,WA,Restructured Retail Service Providers,0.00
2017,US,Restructured Retail Service Providers,16.04
2017,CA,Energy-Only Providers,6.80
2017,CT,Energy-Only Providers,8.98
2017,DC,Energy-Only Providers,10.84
2017,DE,Energy-Only Providers,9.46
2017,IL,Energy-Only Providers,7.41
2017,MA,Energy-Only Providers,11.37
2017,MD,Energy-Only Providers,9.81
2017,ME,Energy-Only Providers,9.65
2017,MI,Energy-Only Providers,8.50
2017,MT,Energy-Only Providers,6.36
2017,NH,Energy-Only Providers,10.06
2017,NJ,Energy-Only Providers,11.76
2017,NV,Energy-Only Providers,0.00
2017,NY,Energy-Only Providers,9.38
2017,OH,Energy-Only Providers,6.23
2017,OR,Energy-Only Providers,0.00
2017,PA,Energy-Only Providers,8.49
2017,RI,Energy-Only Providers,10.38
2017,VA,Energy-Only Providers,0.00
2017,WA,Energy-Only Providers,0.00
2017,US,Energy-Only Providers,8.26
2017,CA,Delivery-Only Service,14.16
2017,CT,Delivery-Only Service,12.39
2017,DC,Delivery-Only Service,4.33
2017,DE,Delivery-Only Service,5.38
2017,IL,Delivery-Only Service,6.07
2017,MA,Delivery-Only Service,10.68
2017,MD,Delivery-Only Service,5.59
2017,ME,Delivery-Only Service,8.61
2017,MI,Delivery-Only Service,7.05
2017,MT,Delivery-Only Service,4.55
2017,NH,Delivery-Only Service,7.32
2017,NJ,Delivery-Only Service,4.76
2017,NV,Delivery-Only Service,0.00
2017,NY,Delivery-Only Service,11.43
2017,OH,Delivery-Only Service,6.50
2017,OR,Delivery-Only Service,0.00
2017,PA,Delivery-Only Service,6.83
2017,RI,Delivery-Only Service,10.34
2017,VA,Delivery-Only Service,0.00
2017,WA,Delivery-Only Service,0.00
2017,US,Delivery-Only Service,7.79
2016,AK,Total Electric Industry,20.30
2016,AL,Total Electric Industry,11.99
2016,AR,Total Electric Industry,9.92
